total,mask
172.54508836,159.42309389
149.15375655,133.15582364
140.73829137,116.83935678
145.92993506,120.23599628
155.26988875,119.75494343
138.02322623,128.31632458
149.66213991,120.64364361
144.13960374,122.01527494
115.74881356529662,78.25664691663194
132.60962676425697,75.63889828177808
145.3147168972646,87.09176014750416
83.49080257304013,92.57869508010913
111.41237945639297,66.66491440275057
147.41299366083695,78.29522288533867
107.29981451504864,79.9646252886214
109.70433605567088,77.63856994836503
152.2536260447814,71.5686058149542
123.93432699347613,78.9643758613466
140.12860957771773,80.7826348629733
62.39909249794438,59.98470149102149
94.29477944597605,65.1250688360594
135.4908100301982,81.01304861532675
107.24883801653051,82.17079811374954
120.94128227321198,71.94736192016553
132.30521142185898,71.27504505037265
121.33456055831631,81.47334543985994
67.86826037522405,81.27821899100287
100.17626544932136,80.81436920410103
97.26902467285981,78.60107793162324
108.98463262204314,78.74432754764437
130.54255839815596,76.0866098956708
115.53156704170397,73.06191633718396
88.16013788746206,74.6448485595618
98.44684798346135,79.33269820328415
85.46758021891584,64.7477695334065
60.728671939170454,51.55804119045581
52.49518498795806,50.539527118522145
137.83132470020792,76.00378675072054
138.30227200384252,84.28227843323958
114.54397624940611,76.13917236727674
112.77699295018101,76.37065935840246
110.63387610728387,78.01387496841957
101.57540070137476,73.43688486440048
90.26862698222976,87.44046025164249
133.5400719982572,68.7209209524377
105.80727209610632,76.19858382657515
107.3918173982529,81.9177821073986
122.3213666790398,82.23169448877344
128.47045887535205,87.29412871487345
91.05425098666456,96.01550514954684
92.73261200415436,78.91841032698512
103.89570147608174,73.22049581393853
124.3253483020817,79.06352528051767
38.91989911813289,63.2193280118838
80.34933874348647,89.4722794233324
100.57187067880295,76.47498508602155
136.127528920013,81.6267723790261
130.20258934726007,90.86049577662001
